#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 305967:6351 | 10/31/17 16:08:26 | 32   | 32   | 0.011          | 0.010         |
| 306029:6355 | 11/01/17 18:28:41 | 29   | 29   | 0.010          | 0.009         |
| 306030:6355 | 11/01/17 18:42:20 | 110  | 110  | 0.038          | 0.035         |
| 306036:6356 | 11/01/17 22:43:47 | 1    | 1    | 0.000          | 0.000         |
| 306037:6356 | 11/01/17 22:46:26 | 42   | 42   | 0.015          | 0.012         |
| 306038:6356 | 11/01/17 23:06:46 | 136  | 136  | 0.047          | 0.044         |
| 306041:6356 | 11/02/17 00:07:18 | 318  | 318  | 0.106          | 0.099         |
| 306042:6356 | 11/02/17 02:14:22 | 363  | 363  | 0.105          | 0.099         |
| 306048:6356 | 11/02/17 04:39:06 | 133  | 133  | 0.033          | 0.032         |
| 306049:6356 | 11/02/17 05:33:33 | 357  | 357  | 0.078          | 0.075         |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 0.072          | 0.070         |
| 306091:6358 | 11/02/17 18:43:55 | 193  | 193  | 0.063          | 0.060         |
| 306092:6358 | 11/02/17 20:04:27 | 971  | 971  | 0.233          | 0.218         |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 0.050          | 0.049         |
| 306121:6360 | 11/03/17 13:15:57 | 86   | 86   | 0.030          | 0.028         |
| 306122:6360 | 11/03/17 13:53:17 | 124  | 124  | 0.043          | 0.040         |
| 306125:6360 | 11/03/17 14:46:12 | 2964 | 2964 | 0.576          | 0.556         |
| 306126:6360 | 11/04/17 10:14:24 | 497  | 497  | 0.030          | 0.029         |
| 306134:6362 | 11/04/17 17:39:47 | 21   | 21   | 0.007          | 0.007         |
| 306135:6362 | 11/04/17 17:52:01 | 1095 | 1095 | 0.346          | 0.326         |
| 306138:6362 | 11/05/17 01:32:21 | 1298 | 1298 | 0.216          | 0.209         |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | 1112 | 0.103          | 0.101         |
| 306153:6364 | 11/06/17 02:35:56 | 82   | 82   | 0.028          | 0.026         |
| 306154:6364 | 11/06/17 03:10:19 | 1213 | 1213 | 0.359          | 0.332         |
| 306155:6364 | 11/06/17 11:12:05 | 1440 | 1440 | 0.223          | 0.217         |
| 306169:6364 | 11/06/17 21:43:34 | 735  | 735  | 0.068          | 0.066         |
| 306170:6364 | 11/07/17 02:33:04 | 15   | 15   | 0.001          | 0.001         |
| 306171:6364 | 11/07/17 02:41:35 | 503  | 503  | 0.036          | 0.035         |
| 306418:6370 | 11/09/17 02:11:31 | 65   | 65   | 0.022          | 0.021         |
| 306419:6370 | 11/09/17 02:41:06 | 58   | 58   | 0.020          | 0.018         |
| 306420:6370 | 11/09/17 03:06:38 | 108  | 108  | 0.037          | 0.034         |
| 306422:6370 | 11/09/17 04:30:37 | 114  | 114  | 0.036          | 0.034         |
| 306423:6370 | 11/09/17 05:16:28 | 323  | 323  | 0.090          | 0.085         |
| 306432:6370 | 11/09/17 08:44:06 | 339  | 339  | 0.034          | 0.033         |
| 306454:6371 | 11/09/17 14:18:49 | 83   | 83   | 0.029          | 0.027         |
| 306455:6371 | 11/09/17 14:53:13 | 5    | 5    | 0.002          | 0.002         |
| 306456:6371 | 11/09/17 14:58:09 | 783  | 783  | 0.245          | 0.235         |
| 306457:6371 | 11/09/17 20:03:47 | 28   | 28   | 0.007          | 0.007         |
| 306458:6371 | 11/09/17 20:15:39 | 221  | 221  | 0.053          | 0.051         |
| 306459:6371 | 11/09/17 22:00:10 | 2273 | 2273 | 0.312          | 0.305         |
| 306460:6371 | 11/10/17 12:48:13 | 64   | 64   | 0.004          | 0.004         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 37    | 110  | 58471 | 58470 | 14.068            | 13.427           |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
