# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
276453,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276453,42,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276454,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276454,8,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276457,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,240,1,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,762,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,1882,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276458,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276458,233,4,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276455,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276456,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,325,4,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,986,5,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,1330,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278310,1,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278310,674,7,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278309,1,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,1,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,30,5,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,353,6,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,1271,7,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,197,3,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,531,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280239,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280235,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280236,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280238,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280241,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,1,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,58,5,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,406,6,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,1268,7,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280233,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280240,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,10,1,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,86,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,242,3,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,510,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
