# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
297039,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297039,6,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297039,27,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297046,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297046,40,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297050,1,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297050,12,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297047,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297047,4,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297047,14,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297049,1,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297048,1,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297031,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297031,6,1,150,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297054,1,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297055,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297056,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297056,4,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297057,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297067,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297067,8,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297063,1,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297068,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297062,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297062,4,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297065,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297101,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,164,7,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,182,8,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,195,9,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,207,10,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297100,217,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297098,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297099,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297099,3,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297111,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297112,1,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297110,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297109,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297114,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,13,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,19,5,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,22,1,150,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
297107,26,2,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,31,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,36,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,41,5,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297107,46,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297113,1,3,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297116,1,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297115,1,3,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297150,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297150,7,7,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297150,23,6,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297150,26,5,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297150,30,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297149,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297149,16,7,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297161,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297160,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297168,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297168,36,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297169,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297170,1,4,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297172,1,4,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297162,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297162,6,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297174,1,4,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297180,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297163,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297176,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297176,11,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297177,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297181,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297175,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297182,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297171,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297173,1,4,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297178,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297179,1,4,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297225,1,5,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297199,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297199,18,3,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297215,1,3,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297224,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297224,10,5,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297228,1,5,20,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297229,1,5,100,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/20
297200,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297209,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/1,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297211,1,0,0,HLT_BTagMu_AK4DiJet70_Mu5_v5/0,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
297211,11,1,150,HLT_BTagMu_AK4DiJet70_Mu5_v5/5,ONE,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/30
